seller;data;tipo;sku;quantity;nf;observ
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271900;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271881;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271877;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271872;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271739;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271733;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271727;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271726;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271725;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271712;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271710;
PURPOSE;22/11/2023;Saída;BBJ-VD;3;244271700;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271935;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271933;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271917;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271909;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271740;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271737;
PURPOSE;22/11/2023;Saída;BBJ-VD;1;244271734;
